idno,name,year,date_from,date_to,cadre,training_name
01AM016200,Shri Vinod Kumar Pipersenia,2008,06/01/2008,01/02/2008,Assam Meghalaya,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01AM015700,Shri Jitesh Khosla,2007,01/01/2007,25/01/2007,Assam Meghalaya,MIC Career Programme for IAS Officers - Phase V
01AM016100,Shri B. K. Dev Varma,2007,01/01/2007,25/01/2007,Assam Meghalaya,MIC Career Programme for IAS Officers - Phase V
01AM015600,Shri Anup Kumar Thakur,2007,01/01/2007,25/01/2007,Assam Meghalaya,MIC Career Programme for IAS Officers - Phase V
01AM016600,Shri Kapil Dev Tripathi,2008,06/01/2008,01/02/2008,Assam Meghalaya,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01AM017100,Shri Suresh Chandra Panda,2009,05/01/2009,30/01/2009,Assam Meghalaya,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01AM017200,Shri Rajiv Yadav,2010,12/12/2010,14/01/2011,Assam Meghalaya,Mid Career Programme for IAS Officers- Phase V
01AM017600,Shri Jai Priye Prakash,2010,12/12/2010,14/01/2011,Assam Meghalaya,Mid Career Programme for IAS Officers- Phase V
01AM016800,Shri Subhash Chandra Das,2009,05/01/2009,30/01/2009,Assam Meghalaya,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01AM018000,Shri Kuljit Singh Kropha,2010,12/12/2010,14/01/2011,Assam Meghalaya,Mid Career Programme for IAS Officers- Phase V
01AM017800,Shri Himangshu Sekhar Das,2010,12/12/2010,14/01/2011,Assam Meghalaya,Mid Career Programme for IAS Officers- Phase V
01AM018005,Ms. T Y Das,2010,12/12/2010,14/01/2011,Assam Meghalaya,Mid Career Programme for IAS Officers- Phase V
01AM017000,Shri Anoop Kumar Srivastava,2008,06/01/2008,01/02/2008,Assam Meghalaya,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01AM018100,Shri Kamal Kant Mittal,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
01AM018300,Shri V B Pyarelal,2012,01/10/2012,02/11/2012,Assam Meghalaya,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AM018500,Shri Ram Tirath Jindal,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
01AM018800,Shri Yeshi Tsering,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
01AM018900,Shri Alok Kumar,2012,01/10/2012,02/11/2012,Assam Meghalaya,6th round of Phase-V  of the MCTP for IAS officers (2012)
01AM018700,Shri Jagdish Prasad Meena,2011,09/10/2011,11/11/2011,Assam Meghalaya,Mid Career Programme for IAS Officers - Phase V
